id,source,topic,content
fda-warfarin-001,FDA Drug Interaction Guidelines,warfarin drug interactions bleeding risk,"Warfarin HIGH RISK interactions: NSAIDs (ibuprofen, naproxen, aspirin) significantly increase bleeding risk — contraindicated combination. Antibiotics (metronidazole, ciprofloxacin, azithromycin) increase warfarin effect — reduce dose and monitor INR closely. Amiodarone dramatically increases warfarin effect. INR must be monitored within 3-5 days of any medication change. Supratherapeutic INR above 4.0 increases hemorrhage risk significantly."
fda-warfarin-002,FDA Safety Guidelines,warfarin INR monitoring therapeutic range,"Warfarin therapeutic ranges: INR 2.0-3.0 for AF, DVT/PE. INR 2.5-3.5 for mechanical aortic valve. Sub-therapeutic INR increases clot risk. Supratherapeutic INR above 4.0 — hold warfarin, vitamin K if bleeding. INR above 10 — emergency reversal with IV vitamin K and 4-factor PCC. Fresh foods high in vitamin K (leafy greens) reduce warfarin effect. Consistent diet important."
fda-nsaid-001,FDA NSAID Safety Guidelines,NSAID contraindications and risks,"NSAIDs (ibuprofen, naproxen, diclofenac) contraindicated in: heart failure (cause sodium retention and decompensation), CKD any stage (cause AKI), anticoagulation/warfarin (increase bleeding risk), post-MI (increase cardiovascular events), peptic ulcer disease. Use acetaminophen as alternative. If NSAID required, use shortest duration and lowest dose with proton pump inhibitor."
fda-digoxin-001,FDA Safety Guidelines,digoxin toxicity monitoring signs,"Digoxin narrow therapeutic index 0.5-2.0 ng/mL; use 0.5-0.9 for HF. Toxicity signs: nausea, vomiting, yellow-green visual halos, bradycardia, any arrhythmia, confusion. Hypokalemia from diuretics increases digoxin toxicity dramatically — even therapeutic levels become toxic when K+ below 3.5. Amiodarone and verapamil increase digoxin concentration by 50-100% — halve dose when adding."
fda-metformin-contrast,FDA Clinical Guidelines,metformin contrast dye lactic acidosis,"Metformin must be held 48 hours before iodinated contrast procedures (CT scan with contrast, cardiac cath, angiography). Resume only after confirming stable renal function 48 hours post-procedure. Iodinated contrast can cause acute kidney injury, which reduces metformin clearance causing dangerous lactic acidosis. Risk highest with eGFR below 60, dehydration, large contrast volume."
fda-penicillin-allergy,AAAAI Allergy Guidelines,penicillin allergy cross-reactivity antibiotics,"Penicillin allergy: 1-10% cross-reactivity with cephalosporins. True anaphylaxis to penicillin requires avoidance of all beta-lactams unless allergist-supervised challenge. Azithromycin, clindamycin, or vancomycin as alternatives for gram-positive infections. Carbapenems (meropenem, imipenem) have very low cross-reactivity — can usually be used with monitoring. Many patients labeled penicillin-allergic are not truly allergic — allergy testing recommended."
fda-ace-inhibitor-001,FDA Clinical Guidelines,ACE inhibitor angioedema potassium monitoring,"ACE inhibitors (lisinopril, enalapril, ramipril) can cause angioedema — potentially life-threatening. Discontinue immediately and use ARB as alternative. Monitor potassium and creatinine within 1-2 weeks of starting. Expected creatinine rise up to 30% acceptable. Avoid in pregnancy — teratogenic. Cough in 10-15% of patients — switch to ARB. Avoid combining ACE inhibitor with ARB."
fda-statin-001,FDA Statin Guidelines,statin myopathy rhabdomyolysis monitoring,"Statins: monitor for myopathy (muscle pain, weakness). Rhabdomyolysis rare but serious — CK above 10x ULN requires stopping statin. High-intensity statins (atorvastatin 40-80mg, rosuvastatin 20-40mg) for very high cardiovascular risk. Drug interactions: amiodarone, cyclosporine increase statin levels and myopathy risk. Simvastatin 80mg should not be started due to high myopathy risk."
aha-stroke-001,AHA Stroke Guidelines 2023,stroke recognition emergency FAST,"FAST acronym: Face drooping, Arm weakness, Speech difficulty, Time to call 911. Other symptoms: sudden severe headache, vision loss, dizziness, unilateral numbness. tPA must be given within 4.5 hours of onset — call 911 immediately. Do not give aspirin until CT confirms no hemorrhage. Time is brain — 1.9 million neurons die per minute. Thrombectomy up to 24 hours for selected patients."
aha-stroke-002,AHA Secondary Stroke Prevention 2023,secondary stroke prevention anticoagulation,Secondary stroke prevention in AFib requires anticoagulation — warfarin INR 2-3 or DOAC (apixaban preferred). Antiplatelet therapy insufficient for cardioembolic stroke from AFib. BP target below 130/80 — most important modifiable risk factor. High-intensity statin for all ischemic stroke with LDL below 70. Avoid NSAIDs post-stroke — increase cardiovascular events.
who-sepsis-001,WHO Sepsis Guidelines 2023,sepsis recognition and treatment,"Sepsis: life-threatening organ dysfunction from dysregulated infection response. Signs: fever above 38.3C or hypothermia below 36C, HR above 90, RR above 20, altered mental status, WBC above 12000 or below 4000. Septic shock: persistent hypotension despite 30mL/kg IV fluids with lactate above 2 mmol/L. Requires IV antibiotics within 1 HOUR, blood cultures before antibiotics, IV fluids 30mL/kg."
who-sepsis-002,Surviving Sepsis Campaign 2021,septic shock vasopressor ICU management,"Septic shock management: norepinephrine first-line vasopressor, target MAP above 65 mmHg. Add vasopressin if norepinephrine above 0.25 mcg/kg/min. Hydrocortisone 200mg/day if vasopressor-dependent. Tight glucose control 140-180 mg/dL using insulin infusion. Lactate clearance monitoring every 2 hours. Duration antibiotics typically 7-10 days. Procalcitonin guides antibiotic de-escalation."
nhlbi-asthma-001,NHLBI Asthma Guidelines 2023,asthma management controller rescue,"Asthma management: inhaled corticosteroids (ICS) are cornerstone controller therapy. Avoid NSAIDs and aspirin in NSAID-exacerbated respiratory disease. Rescue inhaler (albuterol) for acute symptoms — use more than 2x per week indicates poor control. Moderate persistent asthma: ICS-LABA combination. Severe attack: SpO2 below 92%, inability to complete sentences — emergency care required."
nhlbi-asthma-002,NHLBI Asthma Guidelines 2023,asthma exacerbation acute management,"Acute asthma exacerbation: continuous nebulized albuterol, ipratropium, systemic corticosteroids (prednisone 40-60mg), supplemental oxygen to SpO2 above 94%. Severe: IV magnesium sulfate 2g over 20 minutes. Peak flow below 50% predicted is severe. PEFR monitoring every 20 minutes. Discharge criteria: PEF above 70%, SpO2 above 94% on room air."
nhlbi-asthma-003,NHLBI Guidelines,NSAID aspirin exacerbated respiratory disease asthma,"NSAID-exacerbated respiratory disease (AERD): aspirin and NSAIDs cause severe bronchospasm in 10-20% of adult asthmatics. Avoid all NSAIDs and COX-1 inhibitors. Use acetaminophen for pain (generally safe below 1g/dose). COX-2 selective agents (celecoxib) generally tolerated with caution. If NSAID absolutely required, aspirin desensitization protocol under specialist supervision."
aha-afib-001,AHA/ACC AFib Guidelines 2023,atrial fibrillation anticoagulation stroke prevention,AFib stroke prevention: CHA2DS2-VASc score guides anticoagulation. Score 2+ in men — anticoagulation recommended. Warfarin INR 2-3 or DOAC (apixaban preferred — fewer bleeds). Aspirin NOT recommended as stroke prevention in AFib — insufficient and bleeds. Rate control target HR below 110 at rest. Anticoagulate 3 weeks before cardioversion or use TEE to exclude clot.
aha-afib-002,AHA AFib Guidelines,atrial fibrillation rate control medications,"AFib rate control: beta-blockers (metoprolol, carvedilol) or calcium channel blockers (diltiazem, verapamil). Digoxin as adjunct — less effective for exercise-related rate control. Target resting HR below 80 or lenient control below 110 in asymptomatic patients. Avoid digoxin in Wolff-Parkinson-White syndrome. Avoid verapamil in HFrEF — negative inotrope."
aaaai-anaphylaxis-001,AAAAI Anaphylaxis Guidelines,anaphylaxis emergency treatment,"Anaphylaxis: epinephrine auto-injector (EpiPen) 0.3mg IM into outer thigh is FIRST-LINE — inject immediately, call 911. Second dose after 5-15 minutes if no improvement. Antihistamines (diphenhydramine) are adjunct ONLY — never primary treatment. Corticosteroids prevent biphasic reactions. Patient must be observed 4-6 hours after reaction. Prescribe epinephrine auto-injector and action plan."
acc-labs-001,ACC Laboratory Monitoring Guidelines,cardiac biomarkers BNP troponin monitoring,"BNP above 100 pg/mL suggests heart failure; above 400 pg/mL likely decompensated HF. Troponin elevation indicates myocardial injury. Serial troponin every 3 hours for ACS rule-in/rule-out. Digoxin level: therapeutic 0.5-0.9 ng/mL for HF. INR: therapeutic 2.0-3.0 for AF/DVT. Potassium monitoring critical for patients on digoxin, diuretics, ACE inhibitors, or spironolactone."
ats-copd-001,ATS COPD Guidelines 2023,COPD exacerbation management,"COPD exacerbation: increased dyspnea, cough, sputum. Treat with SABA plus SAMA nebulization, systemic corticosteroids (prednisone 40mg x5 days), antibiotics if purulent sputum or CXR infiltrate. SpO2 target 88-92% — avoid hyperoxia which causes CO2 retention. NIV (BiPAP) for acute hypercapnic respiratory failure. Long-term: tiotropium (LAMA) plus ICS-LABA for frequent exacerbators."
aha-vte-001,AHA VTE Guidelines 2023,DVT pulmonary embolism anticoagulation,"DVT/PE treatment: anticoagulate immediately. DOAC (rivaroxaban, apixaban) preferred over warfarin for most patients. Warfarin if DOAC contraindicated (severe CKD, antiphospholipid syndrome) — INR 2-3. Duration: provoked DVT 3 months; unprovoked or PE 6 months or indefinite. Massive PE with hemodynamic instability: thrombolysis. Compression stockings for DVT."
ace-dka-001,ADA DKA Guidelines,diabetic ketoacidosis DKA emergency,"DKA criteria: glucose above 250 mg/dL, pH below 7.3, bicarbonate below 15, ketonemia. Signs: polyuria, polydipsia, nausea, vomiting, abdominal pain, Kussmaul breathing, fruity breath, altered mental status. Treatment: IV insulin infusion, aggressive IV fluids, potassium replacement, monitor glucose hourly. Continue insulin until anion gap closed. Never stop insulin in T1DM even when not eating."
ags-elderly-001,American Geriatrics Society Beers Criteria 2023,medications to avoid in elderly patients,"Beers Criteria: avoid in elderly (65+): NSAIDs (GI bleed, AKI, fluid retention), benzodiazepines (fall risk, delirium), anticholinergics (confusion, urinary retention), nitrofurantoin below eGFR 45. Use lowest effective doses. Review polypharmacy — patients on 5+ medications have high risk of drug interactions. Digoxin above 0.125mg daily increases toxicity risk in elderly."
ags-falls-001,AGS Falls Prevention Guidelines,fall risk medications elderly,"Fall risk medications: antihypertensives (orthostatic hypotension), diuretics (volume depletion), benzodiazepines and sedatives, opioids, antidepressants, antipsychotics. Assess orthostatic BP in all elderly hypertensive patients — drop of 20/10 mmHg on standing indicates risk. Exercise programs (strength and balance) most effective for fall prevention. Vitamin D 800 IU daily reduces falls."
fda-drug-interactions-001,FDA Drug Interaction Database 2024,critical drug interactions to monitor,"CRITICAL drug interaction pairs: (1) Warfarin + NSAIDs = major bleeding risk; (2) ACE inhibitor + potassium-sparing diuretic = hyperkalemia; (3) Digoxin + amiodarone = digoxin toxicity, halve digoxin dose; (4) Metformin + contrast dye = lactic acidosis, hold 48h; (5) Statin + amiodarone = myopathy risk; (6) Warfarin + azithromycin = INR elevation; (7) NSAID + ACE inhibitor + diuretic = triple whammy AKI."
fda-drug-interactions-002,FDA Clinical Guidelines,anticoagulant drug interactions,Anticoagulant safety: Never combine warfarin with NSAIDs without very close INR monitoring. DOAC with NSAIDs: increased GI bleeding. All anticoagulants contraindicated with active bleeding. Before surgery: hold warfarin 5 days (INR below 1.5). Bridge with heparin if high thromboembolic risk. Warfarin reversal: vitamin K plus 4-factor PCC for emergency. Fish oil and vitamin E also increase bleeding risk.
nccn-breast-001,NCCN Breast Cancer Guidelines 2024,platinum compound allergy chemotherapy contraindication,"Platinum compound hypersensitivity (carboplatin, cisplatin, oxaliplatin) is a contraindication to platinum-based chemotherapy. Patients with documented platinum allergy should receive alternative regimens. In breast cancer, consider taxane-based (paclitaxel, docetaxel) or anthracycline-based (doxorubicin, cyclophosphamide) regimens as alternatives. Cross-reactivity between platinum agents is common — prior reaction to one agent contraindicates all platinum compounds."
nccn-breast-002,NCCN Breast Cancer Guidelines 2024,breast cancer chemotherapy regimen selection,Standard chemotherapy regimens for breast cancer: AC-T (doxorubicin + cyclophosphamide followed by paclitaxel) for HER2-negative disease. Trastuzumab-based for HER2-positive. Tamoxifen or aromatase inhibitors for hormone receptor-positive disease. Platinum-based regimens considered for triple-negative breast cancer or BRCA-mutated tumours. Multidisciplinary tumour board review recommended for complex cases.
nccn-oncology-001,NCCN Oncology Drug Allergy Guidelines 2024,chemotherapy drug allergy management oncology,Drug allergies in oncology require immediate documentation and consideration of alternative agents. High criticality allergies are absolute contraindications. Oncology MDT review is mandatory before proceeding with any alternative regimen in a patient with documented chemotherapy allergy. All allergy information must be documented as a FHIR AllergyIntolerance resource with criticality level.
asco-breast-001,ASCO Breast Cancer Guidelines 2024,breast cancer tumour board referral MDT,"Multidisciplinary tumour board (MDT) review is recommended for breast cancer patients with drug allergies to standard chemotherapy agents. MDT should include medical oncology, surgical oncology, radiation oncology, and pathology. ServiceRequest for MDT referral should be created with priority URGENT when treatment-limiting allergies are identified."
asco-tamoxifen-001,ASCO Drug Interaction Guidelines 2024,tamoxifen drug interactions breast cancer hormonal therapy,"Tamoxifen interactions: avoid strong CYP2D6 inhibitors (fluoxetine, paroxetine) as they reduce tamoxifen efficacy. Warfarin interaction — tamoxifen potentiates anticoagulant effect, INR monitoring required. Tamoxifen increases risk of thromboembolic events — assess VTE risk before initiation. Duration 5-10 years for hormone receptor-positive breast cancer. Safe with Metformin in T2DM patients."
